id_puesto;idzona_puesto;num_puesto;nombre_puesto;estado_puesto
323;72;04;EL CONSUELO;1
324;72;05;EL JUNCAL;1
325;72;07;MANUEL BARRIOS;1
326;72;13;REAL DEL OBISPO;1
327;72;16;SAN ANTONIO;1
328;72;17;SAN LUIS;1
329;72;70;SANTA INES;1
330;72;85;VERDUN;1
331;73;00;PUESTO CABECERA MUNICIPAL;1
332;74;05;EL BONGO;1
333;74;10;CA¥O DE AGUAS;1
334;74;15;CAPUCHO;1
335;74;18;CERRITOS;1
336;74;20;PIEDRAS DE MOLER;1
337;74;25;PIEDRAS PINTADAS;1
338;75;01;IED JOSE BENITO VIVES DE ANDREIS;1
339;75;02;IED JOSE BENITO V DE A SD ESC R DE VARON;1
340;76;15;CANDELARIA;1
341;76;20;LA GRAN VIA;1
342;76;23;GUACAMAYAL;1
343;76;24;IED MACONDO;1
344;76;25;GUAMACHITO;1
345;76;26;JULIO ZAWADY;1
346;76;28;ORIHUECA;1
347;76;30;PALOMAR;1
348;76;38;IE DEPTAL ARMANDO ESTRADA FLORES S;1
349;76;39;SAN JOSE DE KENNEDY;1
350;76;40;SANTA ROSALIA;1
351;76;42;SOPLADOR;1
352;76;49;TUCURINCA;1
353;76;55;CARITAL;1
354;76;75;VARELA;1
